theory,source,category,known_result,fractal_coherence,fractal_time,fractal_peak_scale,peak_alpha,conv_rate,sg_corr,dim_scale,cqc,stability,entropy,spectrum,quantum_fidelity,quantum_time,consistency,coupling_strength,phase_trans,spec_corr,timestamp
Virus Evolution,DARPA (2008),Information Theory,Open,100,0.655874491,0,1.55,0,0.050000000000000044,0.052631579,19984.122215687752,0.4946926753464166,1.1096719944488729,"[54.14762140496839, 30.390614622463172, 19.32850111932896, 14.687060534259905, 12.68006073236082]",8.471679688,0.15058350563049316,100,0,0,0.9982875405750142,5/23/2025 4:05
Genome Geometry,DARPA (2008),Genomics,Open,100,0.6762609481811523,0,1.5499999999999998,0,0.05,0.1111111111111111,6766.064055755558,0.4825801044153077,1.135520848186033,"[32.267440104673774, 17.410673206625958, 11.087936258479616, 8.432026424009598, 7.281414424749902]",20.38574219,0.12787866592407227,100,0,0,0.9993421746040754,5/23/2025 4:05
Biological Symmetries,DARPA (2008),Biology,Open,100,0.6472115516662598,0,1.45,0,0.050000000000000044,0.125,34901.661740955955,0.16916641279555586,1.105263846,"[71.18067708268593, 40.3815312082141, 25.645130131673337, 19.48042598003158, 16.816700464428298]",15.25878906,0.129805326,100,0,0,0.9978847633832165,5/23/2025 4:05
Self-Reproducing Machines,DARPA (2008),Engineering,Open,100,0.6810905933380127,0,2.65,0,0.068281828,0.083333333,29876.490150499514,0.4617791862157151,1.1060791205612572,"[65.93170263236817, 37.30994963315156, 23.704757673715992, 18.008126608938024, 15.546158825112173]",27.78320313,0.13090062141418457,100,0,0,0.9979846119207156,5/23/2025 4:05
Beyond Turing,DARPA (2008),Computation,Open,100,0.6625280380249023,0,2.7,0,0.018281828459044913,0.083333333,25898.137306040615,0.8685592230365042,1.1070927433571474,"[61.46267073770464, 34.68999781459537, 22.048646044575804, 16.751413423512375, 14.461631644446177]",31.22558594,0.12901854515075684,100,0,0,0.998084931,5/23/2025 4:05
Network Control,DARPA (2008),Control Theory,Open,100,1.3180890083312988,0,1.6,0,0.018000000000000016,0.066666667,24575.51285733645,0.44470637660678813,1.1075336450739777,"[59.90380056876, 33.77498335919267, 21.47000143294498, 16.31229529648765, 14.082671880186874]",11.05957031,0.221754789,100,0,0,0.9981237765001058,5/23/2025 4:05
Consciousness Theory,DARPA (2008),Neuroscience,Open,100,0.6779599189758301,0,2.55,0,0.16828182845904527,0.076923077,29593.615389942664,0.7519295716954068,1.1061384188457122,"[65.62389330934438, 37.12964479133549, 23.590816452815126, 17.92166727189824, 15.47154640466796]",39.86816406,0.13255763053894043,100,0,0,0.9979910361334647,5/23/2025 4:05
Cryptography Structures,DARPA (2008),Cryptography,Open,100,0.6926343441009521,0,1.65,0,0.031999999999999806,0.076923077,29735.62729069097,0.352764938,1.1061084377615247,"[65.77860128805398, 37.22027039468663, 23.64808665708894, 17.965124330469504, 15.509048862998998]",4.565429688,0.12468743324279785,100,0,0,0.9979877988031061,5/23/2025 4:05
Emergent Phenomena,DARPA (2008),Complex Systems,Open,100,0.6635136604309082,0,2.6,0,0.118281828,0.0625,9982.239770053859,0.9102110156810339,1.1227565082793898,"[38.7572081865859, 21.28556584408515, 13.55407731876782, 10.303969820130456, 8.89712348583563]",23.46191406,0.1250452995300293,100,0,0,0.9989417104397584,5/23/2025 4:05
Fundamental Biology,DARPA (2008),Biology,Open,100,0.6859476566314697,0,2.5,0,0.2182818284590451,0.125,26546.05323046524,0.6065025544807556,1.1068981377269798,"[62.2121802996173, 35.12972424132877, 22.326676316784187, 16.96239895547536, 14.643711336225666]",36.27929688,0.1205453872680664,100,0,0,0.9980669998808709,5/23/2025 4:05
Fermats Last Theorem,Wiles (1995),Number Theory,Solved by Wiles,100,0.6818604469299316,0,0.97,0,0.030000000000000027,0.071428571,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",5.029296875,0.12923765182495117,100,0,0,0.9373998780369407,5/23/2025 4:05
Four Color Theorem,Appel & Haken (1977),Graph Theory,Solved with computer proof,100,1.0563111305236816,0,1.32,0,0.17999999999999994,0.076923077,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",9.643554688,0.11882829666137695,100,0,0,0.9373998780369407,5/23/2025 4:05
Kepler Conjecture,Hales (1998),Geometry,Solved with computer proof,100,1.3068857192993164,0,1.23,0,0.22999999999999998,0.1111111111111111,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",6.811523438,0.20310449600219727,100,0,0,0.9373998780369407,5/23/2025 4:05
Honeycomb Conjecture,Hales (1999),Geometry,Solved by Hales,100,0.6822695732116699,0,1.15,0,0.1499999999999999,0.1111111111111111,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",5.688476563,0.1316688060760498,100,0,0,0.9373998780369407,5/23/2025 4:05
Bieberbach Conjecture,de Branges (1985),Complex Analysis,Solved by de Branges,100,0.6790456771850586,0,1.08,0,0.08,0.058823529411764705,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",3.7109375,0.14628028869628906,100,0,0,0.9373998780369407,5/23/2025 4:05
Catalan Conjecture,Mihăilescu (2002),Number Theory,Solved by Mihăilescu,100,0.6661422252655029,0,1.02,0,0.020000000000000018,0.071428571,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",4.1015625,0.14611363410949707,100,0,0,0.9373998780369407,5/23/2025 4:05
Prime Number Theorem,Hadamard & de la Vallée-Poussin (1896),Number Theory,Solved,100,0.6863119602203369,0,1.13,0,0.1299999999999999,0.071428571,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",4.296875,0.13006281852722168,100,0,0,0.9373998780369407,5/23/2025 4:05
Mordell Conjecture,Faltings (1983),Algebraic Geometry,Solved by Faltings,100,0.6698009967803955,0,1.28,0,0.21999999999999997,0.052631579,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",8.59375,0.13905835151672363,100,0,0,0.9373998780369407,5/23/2025 4:05
Green Tao Theorem,Green & Tao (2004),Number Theory,Solved,100,0.6848273277282715,0,1.17,0,0.16999999999999993,0.071428571,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",5.249023438,0.12914276123046875,100,0,0,0.9373998780369407,5/23/2025 4:05
Simple Group Classification,Multiple Contributors (1981-2004),Group Theory,Solved,100,0.7683148384094238,0,1.65,0,0.031999999999999806,0.076923077,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",27.5390625,0.23715424537658691,100,0,0,0.9373998780369407,5/23/2025 4:05
Graph Minor Theorem,Robertson & Seymour (1983-2004),Graph Theory,Solved,100,1.118633508682251,0,1.42,0,0.08,0.076923077,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",14.37988281,0.12937808,100,0,0,0.9373998780369407,5/23/2025 4:05
Snake Lemma,Classical,Homological Algebra,Solved,100,0.6660213470458984,0,1.03,0,0.030000000000000027,0.05,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",3.784179688,0.12789249420166016,100,0,0,0.9373998780369407,5/23/2025 4:05
Szemeredi Theorem,Szemerédi (1975),Combinatorics,Solved,100,0.6825399398803711,0,1.21,0,0.20999999999999996,0.071428571,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",5.834960938,0.1291041374206543,100,0,0,0.9373998780369407,5/23/2025 4:05
Conway Knot Problem,Piccirillo (2018),Knot Theory,Solved by Piccirillo,100,0.6694967746734619,0,1.26,0,0.24,0.083333333,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",6.73828125,0.1286330223083496,100,0,0,0.9373998780369407,5/23/2025 4:05
Denjoy Wolff Theorem,Denjoy & Wolff (1926-1936),Complex Analysis,Solved,100,0.6740055084228516,0,1.11,0,0.1100000000000001,0.058823529411764705,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",4.028320313,0.12301301956176758,100,0,0,0.9373998780369407,5/23/2025 4:05
Dehn Sydler Theorem,Dehn & Sydler (1900-1965),Geometry,Solved,100,0.6721627712249756,0,1.19,0,0.18999999999999995,0.1111111111111111,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",4.541015625,0.13012933731079102,100,0,0,0.9373998780369407,5/23/2025 4:05
Banach Tarski Paradox,Banach & Tarski (1924),Set Theory,Solved,100,0.6885182857513428,0,1.43,0,0.07,0.090909091,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",13.671875,0.13259196281433105,100,0,0,0.9373998780369407,5/23/2025 4:06
Ax Grothendieck Theorem,Ax & Grothendieck (1960s),Algebraic Geometry,Solved,100,1.2639119625091553,0,1.24,0,0.24,0.052631579,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",7.397460938,0.20120859146118164,100,0,0,0.9373998780369407,5/23/2025 4:06
Cap Set Problem,Ellenberg & Gijswijt (2017),Combinatorial Geometry,Solved,100,0.6949245929718018,0,1.07,0,0.07,0.043478260869565216,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",3.637695313,0.12677002,100,0,0,0.9373998780369407,5/23/2025 4:06
Atiyah Singer Theorem,Atiyah & Singer (1963),Differential Geometry,Solved,100,0.693411112,0,1.5499999999999998,0,0.05,0.045454545454545456,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",20.77636719,0.14558625221252441,100,0,0,0.9373998780369407,5/23/2025 4:06
Hironaka Resolution,Hironaka (1964),Algebraic Geometry,Solved,100,0.7017524242401123,0,1.39,0,0.1100000000000001,0.052631579,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",12.37792969,0.12915253639221191,100,0,0,0.9373998780369407,5/23/2025 4:06
Uniformization Theorem,Poincaré & Koebe (1907),Complex Analysis,Solved,100,0.6928493976593018,0,1.33,0,0.16999999999999993,0.058823529411764705,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",9.155273438,0.12854409217834473,100,0,0,0.9373998780369407,5/23/2025 4:06
Surface Classification,Classical,Topology,Solved,100,0.6934566497802734,0,1.22,0,0.21999999999999997,0.1111111111111111,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",6.811523438,0.13372254371643066,100,0,0,0.9373998780369407,5/23/2025 4:06
Feit Thompson Theorem,Feit & Thompson (1963),Group Theory,Solved,100,0.6924293041229248,0,1.6,0,0.018000000000000016,0.076923077,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",23.19335938,0.12835931777954102,100,0,0,0.9373998780369407,5/23/2025 4:06
Godel Completeness,Gödel (1929),Mathematical Logic,Solved,100,0.6695470809936523,0,1.29,0,0.20999999999999996,0.052631579,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",7.666015625,0.1696643829345703,100,0,0,0.9373998780369407,5/23/2025 4:06
Fifteen Puzzle Solution,Johnson & Story (1879),Recreational Mathematics,Solved,100,1.2260181903839111,0,1.01,0,0.010000000000000009,0.04,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",4.272460938,0.1974344253540039,100,0,0,0.9373998780369407,5/23/2025 4:06
ABC Conjecture,Mochizuki (2012),Number Theory,Open,100,0.6764178276062012,0,1.28,0,0.21999999999999997,0.071428571,32815.87467897627,0.1794535630091419,1.1055532046010714,"[69.04988579874397, 39.13532766420767, 24.85803000937695, 18.883212068307884, 16.30133047821325]",3.930664063,0.1240386962890625,100,0,0,0.9979231857081095,5/23/2025 4:06
Goldbach Conjecture,Goldbach (1742),Number Theory,Open,100,0.6860263347625732,0,1.19,0,0.18999999999999995,0.071428571,19202.56735168315,0.4103961692999573,1.1101631943990837,"[53.10601586363024, 29.77716897601159, 18.94010297400266, 14.39227803399638, 12.425652098923631]",5.419921875,0.12552499771118164,100,0,0,0.9983210119255875,5/23/2025 4:06
Twin Prime Conjecture,de Polignac (1849),Number Theory,Open,100,0.6626992225646973,0,1.34,0,0.15999999999999992,0.071428571,35551.58555238682,0.028960960288186156,1.1051854826576717,"[71.83186773550054, 40.762203919913134, 25.88552382089065, 19.66282115409119, 16.97409855209855]",3.588867188,0.15203404426574707,100,0,0,0.9978735531899865,5/23/2025 4:06
Collatz Conjecture,Collatz (1937),Number Theory,Open,100,0.6757588386535645,0,1.41,0,0.09,0.071428571,32837.240161639405,0.17870903029598217,1.1055499217661884,"[69.07204140706986, 39.14829019719039, 24.866218142022806, 18.889424937428377, 16.3066919470946]",6.372070313,0.12550902366638184,100,0,0,0.9979227719737456,5/23/2025 4:06
Euler-Mascheroni Irrationality,Euler (1735),Number Theory,Open,100,0.6619055271148682,0,1.38,0,0.1200000000000001,0.071428571,35677.45977741548,0.012079640107038325,1.1051708975397898,"[71.9573148243216, 40.835528279849726, 25.931825910923724, 19.6979519681296, 17.004414661661304]",7.983398438,0.12980127334594727,100,0,0,0.9978714211685361,5/23/2025 4:06
Brocard Conjecture,Brocard (1876),Number Theory,Open,100,0.6758286952972412,0,1.42,0,0.08,0.071428571,35565.68278,0.11224551174235084,1.105183839844824,"[71.84592787952528, 40.770422285206415, 25.89071349953717, 19.666758725703698, 16.977496477516098]",6.079101563,0.13154935836791992,100,0,0,0.9978733137935654,5/23/2025 4:06
Legendre Conjecture,Legendre (1808),Number Theory,Open,100,1.0827085971832275,0,1.45,0,0.050000000000000044,0.071428571,23734.88630320848,0.4557755103613781,1.1078480306982454,"[58.89174716056499, 33.1806019089395, 21.094047283854746, 16.02698707932046, 13.836448501614923]",5.322265625,0.20402979850769043,100,0,0,0.9981501695145472,5/23/2025 4:06
Hadwiger-Nelson Problem,Nelson (1950),Graph Theory,Open,100,0.87092948,0,1.37,0,0.1299999999999999,0.076923077,32794.443823383226,0.18019734318507236,1.1055565045677413,"[69.0276553407454, 39.12232123781014, 24.84981412838691, 18.876978142457094, 16.295950837551324]",4.272460938,0.12547087669372559,100,0,0,0.9979236011492625,5/23/2025 4:06
Graph Isomorphism Problem,Unknown (1970s),Graph Theory,Open,100,0.6577980518341064,0,1.41,0,0.09,0.076923077,20018.193404651214,0.40398026243017987,1.1096516154437694,"[54.19257556721562, 30.417082519039468, 19.345257341125333, 14.699777878186973, 12.691036252577097]",5.444335938,0.13925409317016602,100,0,0,0.9982861246024755,5/23/2025 4:06
Erdos-Szekeres Conjecture,Erdos & Szekeres (1935),Combinatorics,Open,100,0.6751489639282227,0,1.5700000000000003,0,0.048,0.071428571,20632.397408436675,0.4891343243768961,1.1092980352388315,"[54.99669245815557, 30.89042361366598, 19.64489538615173, 14.92719017846674, 12.887300647259165]",3.686523438,0.1321861743927002,100,0,0,0.9982611858776403,5/23/2025 4:06
Ramsey Number Asymptotics,Erdos (1947),Combinatorics,Open,100,0.6615445613861084,0,1.47,0,0.030000000000000027,0.071428571,18763.01670492414,0.5038691465467039,1.1104607614520015,"[52.51116532500525, 29.426683845993278, 18.71816131112299, 14.223828530454623, 12.28027296780955]",5.908203125,0.1430187225341797,100,0,0,0.99834071,5/23/2025 4:06
Reconstruction Conjecture,Kelly & Ulam (1942),Graph Theory,Open,100,0.6748857498168945,0,1.44,0,0.06,0.076923077,30907.26527509898,0.23639024484803367,1.105876788071562,"[67.041507088043, 37.95986492817021, 24.115425312048092, 18.319740153264146, 15.815073112747017]",5.444335938,0.1324024200439453,100,0,0,0.9979620018399666,5/23/2025 4:06
1-Factorization Conjecture,Chetwynd & Hilton (1985),Graph Theory,Open,100,0.6940743923187256,0,1.5499999999999998,0,0.05,0.076923077,35612.38601307303,0.10631538388315383,1.1051784142083212,"[71.89248885613569, 40.7976376029102, 25.90789918890999, 19.679798039873788, 16.988748745316624]",3.979492188,0.13092780113220215,100,0,0,0.9978725218101696,5/23/2025 4:06
Lovasz Conjecture,Lovasz (1969),Graph Theory,Open,100,0.6889288425445557,0,1.36,0,0.1399999999999999,0.076923077,22682.508962164105,0.3780614731729069,1.108284458387689,"[57.59987958255428, 32.42148958986711, 20.613810370248764, 15.662532076491802, 13.521918634848273]",3.955078125,0.12942028045654297,100,0,0,0.9981852761816745,5/23/2025 4:06
Unknotting Problem,Unknown (1960s),Knot Theory,Open,100,1.283660888671875,0,1.28,0,0.21999999999999997,0.083333333,34975.31875619936,0.078874552,1.105254702274962,"[71.2547728626852, 40.42485024613131, 25.672486870035183, 19.50118259751563, 16.83461243332473]",8.032226563,0.22335243225097656,100,0,0,0.9978834756324192,5/23/2025 4:06
